id,title,type,description,label,priority,parent
36,Implement response parsing,task,"Extract text content and JSON structures from LLM responses, handling both plain text and structured output formats",service-integration,1,32
37,Slack Service,feature,"Implement Slack Bolt integration with all messaging patterns used across the n8n workflows",service-integration,1,31
38,Create Slack Bolt app initialization,task,"Initialize Slack Bolt async app with bot token and app token for Socket Mode, configure channel from settings",service-integration,1,37
39,Implement send_message,task,"Create async function for non-blocking Slack message delivery with Block Kit support, matching n8n's message operation",json-conversion,1,37
40,Implement send_and_wait,task,"Create async function that posts interactive message, registers callback, and blocks on asyncio.Event until user responds, matching n8n's sendAndWait",json-conversion,1,37
41,Implement Block Kit message builder,task,"Create builder functions for structured Slack messages with sections, dividers, and mrkdwn text blocks",json-conversion,1,37
42,Implement radio button form builder,task,"Create builder for Slack radio button selection forms used in theme selection, email subject selection, and social media selection",json-conversion,1,37
43,Implement dropdown form builder,task,"Create builder for Slack dropdown forms used in next-steps selection (Yes/Feedback/Restart)",json-conversion,1,37
44,Implement free-text form builder,task,"Create builder for Slack free-text input forms used for feedback collection and manual article content entry",json-conversion,1,37
45,Implement interactive callback handler,task,"Create handler that receives Slack interaction payloads, resolves matching asyncio.Event, and stores response data",json-conversion,1,37
46,Register Slack event listeners,task,"Wire up all action handlers and event listeners to the Slack Bolt app for interactive component responses",service-integration,1,37
47,Google Sheets Service,feature,"Implement Google Sheets API client matching all operations used in the article curation and summarization workflows",service-integration,1,31
48,Create Google Sheets OAuth2 authentication,task,"Implement OAuth2 credential loading and token refresh using google-auth library",service-integration,1,47
49,Implement clear_sheet operation,task,"Clear all rows from the Newsletter Curated Articles spreadsheet (Sheet1), matching n8n's clear operation",json-conversion,1,47
50,Implement append_rows operation,task,"Append article data rows to the spreadsheet with columns: url, title, publish_date, origin, approved, newsletter_id, industry_news",json-conversion,1,47
51,Implement update_rows operation,task,"Update existing rows in the spreadsheet by matching criteria",json-conversion,1,47
52,Implement fetch_rows with filter,task,"Fetch rows from the spreadsheet filtered by approved=yes, returning structured article objects",json-conversion,1,47
53,Google Docs Service,feature,"Implement Google Docs API client for document creation, content insertion, and content retrieval",service-integration,1,31
54,Create Google Docs OAuth2 authentication,task,"Implement OAuth2 credential loading and token refresh using google-auth library",service-integration,1,53
55,Implement create_document operation,task,"Create a new Google Doc with a specified title, returning the document ID",json-conversion,1,53
56,Implement insert_content operation,task,"Insert text content into a Google Doc at a specified location",json-conversion,1,53
57,Implement fetch_document_content,task,"Retrieve the full text content of a Google Doc by document ID",json-conversion,1,53
58,SearchApi Client,feature,"Implement SearchApi HTTP client for article discovery using google_news and default search engines",service-integration,1,31
59,Create SearchApi HTTP client,task,"Implement async HTTP client for searchapi.io API with authentication and request configuration",service-integration,1,58
60,Implement google_news engine search,task,"Execute searches with engine=google_news, time_period=last_week, num=15, location=United States",json-conversion,1,58
61,Implement default engine search,task,"Execute searches with default engine, time_period=last_week, num=10",json-conversion,1,58
62,Implement SearchApi response parsing,task,"Extract organic_results array from SearchApi response, mapping link, title, and date fields to article objects",json-conversion,1,58
63,Web Fetcher Service,feature,"Implement HTTP article content fetcher with browser-like headers and error detection",service-integration,1,31
64,Create HTTP client with browser headers,task,"Configure httpx async client with User-Agent (Safari/537.36), Accept, Accept-Language, Referer (google.com), Connection headers",json-conversion,1,63
65,Implement content fetch with error detection,task,"Fetch article URL content and detect error responses that indicate failed fetches",json-conversion,1,63
66,Implement captcha detection,task,"Check response body for sgcaptcha string to identify captcha-blocked requests",json-conversion,1,63
67,Implement YouTube URL skip logic,task,"Detect youtube.com URLs and skip fetching, routing to manual content entry fallback",json-conversion,1,63
68,Implement HTML-to-markdown conversion,task,"Convert fetched HTML article content to markdown/plain text for LLM processing",json-conversion,1,63
69,Prompt Templates,epic,"Port all LLM prompt templates from n8n workflow JSON to Python string templates with variable interpolation",prompt-porting,1,
70,Create summarization prompt template,task,"Port the summarization prompt with accuracy control protocol, article summary standards, business relevance specifications, data integrity standards, and conditional feedback section",prompt-porting,1,69
71,Create summarization regeneration prompt,task,"Port the regeneration prompt that incorporates user feedback while maintaining accuracy control and original formatting",prompt-porting,1,69
72,Create theme generation prompt template,task,"Port the theme generation prompt with accuracy control, content distribution requirements (1 FA + 2 MA + 3 QH + 2 ID), 2-2-2 distribution, source mix rules, and %marker output format",prompt-porting,1,69
73,Create markdown generation prompt template,task,"Port the ~4000-word markdown generation prompt including Kevin's 9 voice patterns, required markdown structure (8 sections), character limits, CTA rules, URL constraints, and validator error handling",prompt-porting,1,69
74,Create markdown structural validation prompt,task,"Port the structural validator prompt that checks non-numeric rules: bullet counts, order, clickable links, paragraph structure, labels, footer lines",prompt-porting,1,69
75,Create markdown voice validation prompt,task,"Port the voice validation prompt that evaluates Kevin's writing patterns across introduction, featured article, main articles, and overall consistency",prompt-porting,1,69
76,Create learning data extraction prompt,task,"Port the shared learning data extraction prompt that converts user feedback into structured actionable insights for future improvement",prompt-porting,1,69
77,Create freshness check prompt template,task,"Port the freshness check prompt that compares generated theme against recent newsletters at is2digital.com/newsletters",prompt-porting,1,69
78,Create HTML generation prompt template,task,"Port the HTML generation prompt for converting markdown to email-compatible HTML with inline CSS and responsive design",prompt-porting,1,69
79,Create alternates HTML prompt template,task,"Port the prompt for generating A/B variant HTML with modified design/structure",prompt-porting,1,69
80,Create email subject generation prompt,task,"Port the prompt for generating 3-5 email subject line options with preview text",prompt-porting,1,69
81,Create email preview text prompt,task,"Port the prompt for generating email preview text corresponding to selected subject line",prompt-porting,1,69
82,Create social media post generation prompt,task,"Port the Phase 1 prompt for generating 12 social posts: 6 Did You Know + 6 Industry Take in graphics-only format",prompt-porting,1,69
83,Create social media caption prompt,task,"Port the Phase 2 prompt for generating detailed captions (150-300 chars) for selected social media posts",prompt-porting,1,69
84,Create LinkedIn carousel generation prompt,task,"Port the LinkedIn carousel prompt including slide structure, article ordering, and 3 post copy versions with opening hooks",prompt-porting,1,69
85,Create LinkedIn carousel regeneration prompt,task,"Port the regeneration prompt that incorporates character validation errors for targeted slide corrections",prompt-porting,1,69
86,Utility Functions,epic,"Port all JavaScript utility functions from n8n Code nodes to Python equivalents",json-conversion,1,
87,Date Processing Utilities,feature,"Port date formatting and parsing logic from n8n Code nodes",json-conversion,1,86
88,Create MM/DD/YYYY date formatter,task,"Convert dates to MM/DD/YYYY format for Google Sheets display, porting the UTC-based formatting from Process Input node",json-conversion,1,87
89,Create relative date parser,task,"Parse relative date strings (3 days ago, 1 week ago) from SearchApi results into actual calendar dates using regex matching",json-conversion,1,87
90,Theme Parser Utilities,feature,"Port the complex theme body parsing logic from n8n Code nodes to Python",json-conversion,1,86
91,Create theme body splitter,task,"Split LLM theme output by '-----' separator to extract individual theme blocks",json-conversion,1,90
92,Create theme title and summary extractor,task,"Extract theme title and description from each theme block text",json-conversion,1,90
93,Create %marker parser for Featured Article,task,"Parse %FA_TITLE, %FA_SOURCE, %FA_ORIGIN, %FA_URL, %FA_CATEGORY, %FA_WHY FEATURED markers from theme body using regex",json-conversion,1,90
94,Create %marker parser for Main Articles,task,"Parse %M1_ and %M2_ markers (TITLE, SOURCE, ORIGIN, URL, CATEGORY, RATIONALE) from theme body",json-conversion,1,90
95,Create %marker parser for Quick Hits,task,"Parse %Q1_, %Q2_, %Q3_ markers (TITLE, SOURCE, ORIGIN, URL, CATEGORY) from theme body",json-conversion,1,90
96,Create %marker parser for Industry Developments,task,"Parse %I1_, %I2_ markers (TITLE, SOURCE, ORIGIN, URL, Major AI Player) from theme body",json-conversion,1,90
97,Create %marker parser for Requirements Verified,task,"Parse %RV_ and distribution markers (%222_, %SM_) from theme body",json-conversion,1,90
98,Create formatted_theme object assembler,task,"Combine all parsed marker data into the structured formatted_theme JSON object used by downstream pipeline steps",json-conversion,1,90
99,Slack Formatting Utilities,feature,"Port Slack Block Kit formatting logic from n8n Code nodes",json-conversion,1,86
100,Create article summary Block Kit formatter,task,"Port the Format output code that builds Slack Block Kit structures with numbered article summaries, URLs, and dividers",json-conversion,1,99
101,Create theme display Slack formatter,task,"Port the 100+ regex replacements that convert %XX_ markers to Slack *bold* format for human-readable theme display",json-conversion,1,99
102,Create theme selection form builder,task,"Port the dynamic Slack form builder with radio buttons for theme selection and feedback textarea",json-conversion,1,99
103,Create next-steps form builder,task,"Port the Slack form for Yes/Provide Feedback/Restart Chat dropdown selection used across multiple steps",json-conversion,1,99
104,Content Processing Utilities,feature,"Port content processing and validation helper functions",json-conversion,1,86
105,Create markdown section extractor,task,"Port the regex-based extractSection function that extracts content between markdown headings using the heading pattern",json-conversion,1,104
106,Create conditional output router,task,"Port the logic that determines whether to use original or regenerated content based on user choice, content validity, and feedback status",json-conversion,1,104
107,Create boolean normalizer,task,"Port the boolean normalization logic that converts string 'yes'/'no' values to Python booleans for approved and industry_news fields",json-conversion,1,104
108,Create SQL string escaper,task,"Port SQL string escaping for dynamic queries or replace with parameterized query approach",json-conversion,1,104
109,Article Collection Utility,epic,"Port the curated-ai-articles utility workflow that runs on dual schedules to fetch and store articles via SearchApi",json-conversion,1,
110,Create daily search keyword list,task,"Define the daily keyword list: Artificial General Intelligence, Automation, Artificial Intelligence",json-conversion,1,109
111,Create bi-daily search keyword list,task,"Define the bi-daily keyword list: AI breakthrough, AI latest, AI tutorial, AI case study, AI research",json-conversion,1,109
112,Implement google_news engine query execution,task,"Execute SearchApi queries with google_news engine for each daily keyword with time_period=last_week, num=15, location=United States",json-conversion,1,109
113,Implement default engine query execution,task,"Execute SearchApi queries with default engine for each bi-daily keyword with time_period=last_week, num=10",json-conversion,1,109
114,Implement result deduplication by URL,task,"Deduplicate combined search results using URL as unique key, keeping first occurrence",json-conversion,1,109
115,Implement relative date parsing from results,task,"Parse the date field from SearchApi results using relative date parser and format as MM/DD/YYYY",json-conversion,1,109
116,Implement SQL upsert for article insertion,task,"Insert articles into curated_articles table with ON CONFLICT (url) DO UPDATE for deduplication at the database level",json-conversion,1,109
117,Create table initialization for collection,task,"Ensure curated_articles table exists before insertion, matching the CREATE TABLE IF NOT EXISTS pattern",json-conversion,1,109
118,Create scheduled job wiring,task,"Configure this utility to run on dual schedules: daily for google_news, every 2 days for default engine",infra,1,109
119,Article Curation Pipeline Step,epic,"Port the Curated-Articles subworkflow that manages article approval via Google Sheets and Slack",json-conversion,1,
120,Send initial Slack notification,task,"Send non-blocking Slack message: Looking into articles now and starting summarization",json-conversion,1,119
121,Clear Google Sheet rows,task,"Clear all existing rows from the Newsletter Curated Articles spreadsheet before populating",json-conversion,1,119
122,Fetch unapproved articles from PostgreSQL,task,"Query curated_articles table WHERE approved = false to get all pending articles",json-conversion,1,119
123,Process article dates for display,task,"Convert all article publish_date values to MM/DD/YYYY format for Google Sheets display",json-conversion,1,119
124,Normalize approved field for display,task,"Convert boolean false approved values to empty string for Google Sheets display",json-conversion,1,119
125,Append articles to Google Sheet,task,"Write all processed articles to the Google Sheet with columns: url, title, publish_date, origin, approved, newsletter_id, industry_news",json-conversion,1,119
126,Send Slack approval form,task,"Send sendAndWait message to channel requesting article review and approval, blocking until user responds",json-conversion,1,119
127,Fetch approved articles from Sheet,task,"After user responds, fetch rows from Google Sheet where approved column equals yes",json-conversion,1,119
128,Validate approved articles,task,"Check that at least one article has approved=yes AND newsletter_id is non-empty",json-conversion,1,119
129,Implement re-validation loop,task,"If validation fails, send Slack re-validation message and loop back to fetch approved articles again",json-conversion,1,119
130,Return structured article output,task,"Build and return array of article objects with url, title, publish_date, origin, approved, newsletter_id, industry_news",json-conversion,1,119
131,Summarization Pipeline Step,epic,"Port the Summarization subworkflow with per-article processing, LLM summarization, and feedback loop",json-conversion,1,
132,Fetch LLM model config for summarization,task,"Read LLM_SUMMARY_MODEL, LLM_SUMMARY_REGENERATION_MODEL, and LLM_SUMMARY_LEARNING_DATA_MODEL from config",json-conversion,1,131
133,Fetch approved articles from Google Sheet,task,"Get articles from Sheet filtered by approved=yes to reconcile with any manual edits made during approval",json-conversion,1,131
134,Normalize field types for summarization,task,"Convert approved and industry_news string values to Python booleans, matching the Field Mapping node logic",json-conversion,1,131
135,Build and execute SQL upsert for articles,task,"Generate and run INSERT...ON CONFLICT DO UPDATE for approved articles into curated_articles table",json-conversion,1,131
136,Create required tables for summarization,task,"Ensure curated_articles and summarization_user_feedback tables exist before processing",json-conversion,1,131
137,Implement per-article processing loop,task,"Process each article one at a time in sequence, matching n8n's splitInBatches behavior",json-conversion,1,131
138,Fetch article page content via HTTP,task,"For each article URL, perform HTTP GET with browser-like headers (User-Agent, Accept, Referer etc.)",json-conversion,1,131
139,Detect fetch failures for summarization,task,"Check for error response, captcha detection (sgcaptcha in body), and YouTube URL to determine if fetch failed",json-conversion,1,131
140,Implement manual content Slack fallback,task,"When fetch fails, send Slack form with article URL asking user to paste article content manually",json-conversion,1,131
141,Convert fetched HTML to markdown,task,"Convert successfully fetched HTML content to markdown text, prepending URL and title for context",json-conversion,1,131
142,Fetch summarization learning data,task,"Query last 40 entries from summarization_user_feedback ordered by created_at DESC",json-conversion,1,131
143,Aggregate feedback into prompt format,task,"Combine feedback entries into bullet-point list format for injection into the summarization prompt",json-conversion,1,131
144,Call LLM with summarization prompt,task,"Execute LLM completion with assembled prompt including article content and aggregated feedback context",json-conversion,1,131
145,Collect and aggregate all summaries,task,"After processing all articles, collect individual results into a single array",json-conversion,1,131
146,Format summaries as Slack Block Kit,task,"Build structured Slack message with numbered article summaries, URLs, bold labels, and dividers between sections",json-conversion,1,131
147,Share summaries in Slack channel,task,"Send formatted article summaries to channel as non-blocking message",json-conversion,1,131
148,Send next-steps selection form,task,"Send sendAndWait form with options: Yes / Provide Feedback / Restart Chat",json-conversion,1,131
149,Route user selection for summarization,task,"Based on user's form response, route to: proceed, feedback collection, or restart",json-conversion,1,131
150,Implement summarization feedback collection,task,"Send Slack free-text form asking user to provide feedback for content improvement",json-conversion,1,131
151,Call LLM for summarization regeneration,task,"Execute LLM completion with original content and user feedback using LLM_SUMMARY_REGENERATION_MODEL",json-conversion,1,131
152,Extract learning data from summarization feedback,task,"Call LLM with learning data extraction prompt using the user's feedback, original input, and model output",json-conversion,1,131
153,Store summarization learning feedback,task,"Insert extracted learning data into summarization_user_feedback table",json-conversion,1,131
154,Implement summarization feedback loop,task,"After storing feedback and regenerating, loop back to share updated summaries and ask for approval again",json-conversion,1,131
155,Build final summarized output,task,"Parse final summaries into structured array with URL, Title, Summary, BusinessRelevance, order, newsletter_id, industry_news",json-conversion,1,131
156,Implement summarization conditional output,task,"Determine whether to use original or regenerated summaries based on user choice and content validity",json-conversion,1,131
157,Theme Generation Pipeline Step,epic,"Port the Theme Generation & Selection subworkflow with LLM generation, parsing, selection, and freshness check",json-conversion,1,
158,Create theme feedback table if not exists,task,"Ensure newsletter_themes_user_feedback table exists before processing",json-conversion,1,157
159,Fetch theme learning data,task,"Query last 40 entries from newsletter_themes_user_feedback ordered by created_at DESC",json-conversion,1,157
160,Aggregate theme feedback for prompt,task,"Process database feedback and any fresh Slack feedback into combined prompt input format",json-conversion,1,157
161,Call LLM for theme generation,task,"Execute LLM completion with theme generation prompt, providing summarized articles JSON as input",json-conversion,1,157
162,Split LLM output by separator,task,"Parse LLM response by splitting on '-----' separator to extract 2 individual theme blocks",json-conversion,1,157
163,Extract theme metadata from blocks,task,"Parse theme title, theme description/summary from each theme block",json-conversion,1,157
164,Extract theme article assignments,task,"Parse all %marker fields (FA, M1, M2, Q1-Q3, I1-I2) with their properties from each theme body",json-conversion,1,157
165,Format themes for Slack display,task,"Apply regex replacements converting %XX_ markers to Slack *bold* format with human-readable labels",json-conversion,1,157
166,Build theme selection Slack form,task,"Create radio button form with options for each theme plus Add Feedback option and textarea for editor notes",json-conversion,1,157
167,Share formatted themes in Slack,task,"Send both formatted themes to channel as non-blocking message",json-conversion,1,157
168,Send theme selection form,task,"Send sendAndWait form for theme selection, blocking until user responds",json-conversion,1,157
169,Extract selected theme data,task,"Based on user's radio button selection, extract the corresponding theme object",json-conversion,1,157
170,Parse selected theme into formatted_theme,task,"Parse selected theme body into the structured formatted_theme JSON with all article assignment fields",json-conversion,1,157
171,Run freshness check via LLM,task,"Call LLM with freshness check prompt comparing selected theme against recent newsletters at is2digital.com/newsletters",json-conversion,1,157
172,Format and share freshness report,task,"Display selected theme details and freshness check results in Slack",json-conversion,1,157
173,Send final theme approval form,task,"Send sendAndWait form with options: Approve / Reset Articles / Add Feedback",json-conversion,1,157
174,Implement theme Approve path,task,"Save approved theme to newsletter_themes table and pass formatted_theme to pipeline context",json-conversion,1,157
175,Implement theme Reset Articles path,task,"Clear current feedback, reset theme state, and loop back to regenerate themes from scratch",json-conversion,1,157
176,Implement theme feedback loop,task,"Collect feedback, process via LLM for learning data, store in newsletter_themes_user_feedback, regenerate themes",json-conversion,1,157
177,Return theme generation output,task,"Return formatted_theme, selected_theme, summaries to pipeline context for the markdown step",json-conversion,1,157
178,Markdown Generation Pipeline Step,epic,"Port the Markdown-Generator subworkflow with LLM generation, 3-layer validation, retry loop, and user review",json-conversion,1,
179,Extract formatted_theme from context,task,"Retrieve formatted_theme object from pipeline context input for markdown generation",json-conversion,1,178
180,Create markdown feedback table if not exists,task,"Ensure markdowngenerator_user_feedback table exists before processing",json-conversion,1,178
181,Fetch markdown learning data,task,"Query last 40 entries from markdowngenerator_user_feedback ordered by created_at DESC",json-conversion,1,178
182,Aggregate markdown feedback for prompt,task,"Combine database feedback with theme input data for prompt assembly",json-conversion,1,178
183,Call LLM for markdown generation,task,"Execute LLM completion with the ~4000-word prompt including voice calibration, structure requirements, and formatted_theme data",json-conversion,1,178
184,Character Count Validation,feature,"Port the JavaScript character counting validation from the Validation Character count Code node",json-conversion,1,178
185,Implement section extractor for validation,task,"Port the extractSection regex function that extracts content between markdown headings",json-conversion,1,184
186,Validate Quick Highlights character counts,task,"Extract 3 bullets and validate each is 150-190 characters, computing delta for corrections",json-conversion,1,184
187,Validate Featured Article P1 character count,task,"Extract Featured Article paragraph 1 and validate 300-400 characters with delta",json-conversion,1,184
188,Validate Featured Article P2 character count,task,"Extract Featured Article paragraph 2 and validate 300-400 characters with delta",json-conversion,1,184
189,Validate Featured Article Key Insight count,task,"Extract Key Insight paragraph (starts with **) and validate 300-370 characters with delta",json-conversion,1,184
190,Validate Main Article callout counts,task,"Extract callout paragraphs for both main articles and validate 180-250 chars each with delta",json-conversion,1,184
191,Validate Main Article content counts,task,"Extract content paragraphs for both main articles and validate max 750 chars each with delta",json-conversion,1,184
192,Validate Industry Developments counts,task,"Extract both industry development items and validate 200-280 chars each with delta",json-conversion,1,184
193,Validate Footer paragraph counts,task,"Extract footer paragraphs 2 and 3 and validate 200-550 chars each with delta",json-conversion,1,184
194,Produce character error array with deltas,task,"Format all character count violations into error array with section, field, current count, target range, and delta values",json-conversion,1,184
195,Structural Validation,feature,"Port the LLM-based structural validation that checks non-numeric formatting rules",json-conversion,1,178
196,Call LLM with structural validation prompt,task,"Execute validation LLM call with generated markdown and upstream character errors using LLM_MARKDOWN_VALIDATOR_MODEL",json-conversion,1,195
197,Validate Quick Highlights structure,task,"Check: exactly 3 bullets, correct order (Featured then Main 1 then Main 2), data points, bold terms",json-conversion,1,195
198,Validate Featured Article structure,task,"Check: clickable markdown link headline, separate paragraphs, bold two-word Key Insight label, CTA on own line ending with arrow",json-conversion,1,195
199,Validate Main Articles structure,task,"Check: one content + one callout paragraph each, callout label is Strategic Take-away or Actionable Steps, clickable headline + source link",json-conversion,1,195
200,Validate Industry Developments structure,task,"Check: exactly 2 items, single paragraph each, clickable link headlines, at least one major AI player mentioned",json-conversion,1,195
201,Validate Footer structure,task,"Check: line 1 is exactly the required opening line, final line is exactly Thoughts?",json-conversion,1,195
202,Merge character and structural errors,task,"Combine character count error array with structural validation errors into unified error list",json-conversion,1,195
203,Voice Validation,feature,"Port the LLM-based voice validation that evaluates Kevin's writing patterns",json-conversion,1,178
204,Call LLM with voice validation prompt,task,"Execute voice validation LLM call with generated markdown using LLM_MARKDOWN_VALIDATOR_MODEL",json-conversion,1,203
205,Validate voice patterns across sections,task,"Evaluate introduction, featured article, main articles, and overall voice consistency against Kevin's 9 patterns",json-conversion,1,203
206,Merge all validation errors,task,"Combine character count + structural + voice errors into final unified error array",json-conversion,1,203
207,Validation Loop Control,feature,"Port the validation retry loop with attempt counter and force-accept logic",json-conversion,1,178
208,Track validation attempt counter,task,"Maintain per-execution attempt counter that increments on each validation pass",json-conversion,1,207
209,Format error output for LLM regeneration,task,"Parse combined errors into structured format with delta values for targeted LLM corrections",json-conversion,1,207
210,Feed errors into LLM for regeneration,task,"When attempt < 3 and errors exist, call LLM with markdown + error details for targeted fixes",json-conversion,1,207
211,Force-accept after max attempts,task,"After 3 validation attempts, mark output as valid regardless of remaining errors and proceed to review",json-conversion,1,207
212,Markdown User Review,feature,"Port the user review flow with Slack sharing, Google Doc creation, and feedback handling",json-conversion,1,178
213,Share markdown in Slack,task,"Format generated markdown using Block Kit and share in channel",json-conversion,1,212
214,Send markdown review form,task,"Send sendAndWait form with options: Yes / Provide Feedback / Restart Chat",json-conversion,1,212
215,Implement Yes path - create Google Doc,task,"Create new Google Doc, insert final markdown content, and share document link in Slack",json-conversion,1,212
216,Implement wait for doc editing,task,"After sharing Google Doc link, send sendAndWait allowing user to signal they have finished editing",json-conversion,1,212
217,Implement markdown Provide Feedback path,task,"Collect free-text feedback, call LLM for regeneration with feedback, extract and store learning data, re-share",json-conversion,1,212
218,Implement markdown Restart Chat path,task,"Reset state and loop back to initial markdown generation",json-conversion,1,212
219,Return markdown step output,task,"Output Google Doc document ID, formatted_theme, and summaries to pipeline context",json-conversion,1,212
220,HTML Generation Pipeline Step,epic,"Port the HTML-Generator subworkflow with markdown-to-HTML conversion, LLM styling, and approval flow",json-conversion,1,
221,Extract document ID from context,task,"Retrieve markdown Google Doc document ID from pipeline context using recursive object traversal if needed",json-conversion,1,220
222,Fetch markdown from Google Doc,task,"Retrieve full markdown content from the Google Doc created in the previous step",json-conversion,1,220
223,Convert markdown to HTML,task,"Transform markdown content into base HTML structure for email formatting",json-conversion,1,220
224,Call LLM for HTML template generation,task,"Execute LLM completion to generate email-compatible HTML with inline CSS and responsive design from markdown",json-conversion,1,220
225,Create Google Doc with HTML,task,"Create new Google Doc and insert the generated HTML content",json-conversion,1,220
226,Share HTML preview in Slack,task,"Send the HTML content or preview to channel for user review",json-conversion,1,220
227,Send HTML approval form,task,"Send sendAndWait form with options: Yes / Provide Feedback",json-conversion,1,220
228,Create HTML feedback table if not exists,task,"Ensure htmlgenerator_user_feedback table exists before processing",json-conversion,1,220
229,Implement HTML feedback loop,task,"Collect feedback, call LLM for regeneration, extract learning data, store in htmlgenerator_user_feedback, re-share",json-conversion,1,220
230,Return HTML step output,task,"Output HTML document ID, formatted_theme, and summaries to pipeline context for all 4 parallel steps",json-conversion,1,220
231,Alternates HTML Generator,epic,"Port the Alternates-HTML-Document-Generator subworkflow for A/B variant creation",json-conversion,1,
232,Fetch markdown document for alternates,task,"Retrieve markdown content from Google Doc for alternate HTML generation",json-conversion,1,231
233,Convert markdown to alternate HTML,task,"Transform markdown to HTML with modified design/structure for A/B variant",json-conversion,1,231
